frame,crack_count,crack_bbox_area_px,frame_area_px,crack_density_pct,crack_length_px
frame_000174.jpg,0,0.0,8294400.0,0.0,0.0
frame_000175.jpg,2,40109.2,8294400.0,0.4836,508.6
frame_000176.jpg,1,46493.6,8294400.0,0.5605,545.7
frame_000177.jpg,1,41919.3,8294400.0,0.5054,495.5
frame_000178.jpg,2,56812.9,8294400.0,0.685,727.5
frame_000179.jpg,1,44262.0,8294400.0,0.5336,491.8
frame_000180.jpg,0,0.0,8294400.0,0.0,0.0
frame_000181.jpg,0,0.0,8294400.0,0.0,0.0
frame_000182.jpg,0,0.0,8294400.0,0.0,0.0
frame_000183.jpg,1,53766.2,8294400.0,0.6482,538.2
frame_000184.jpg,1,11306.7,8294400.0,0.1363,221.7
frame_000185.jpg,1,11605.7,8294400.0,0.1399,160.3
frame_000186.jpg,1,52087.0,8294400.0,0.628,525.6
frame_000187.jpg,0,0.0,8294400.0,0.0,0.0
frame_000188.jpg,0,0.0,8294400.0,0.0,0.0
frame_000189.jpg,1,324744.0,8294400.0,3.9152,1664.5
frame_000190.jpg,0,0.0,8294400.0,0.0,0.0
frame_000191.jpg,1,482927.0,8294400.0,5.8223,2135.9
frame_000192.jpg,2,445403.2,8294400.0,5.3699,2291.9
frame_000193.jpg,2,411586.6,8294400.0,4.9622,2239.4
frame_000194.jpg,0,0.0,8294400.0,0.0,0.0
frame_000195.jpg,1,107312.0,8294400.0,1.2938,706.0
frame_000196.jpg,0,0.0,8294400.0,0.0,0.0
frame_000197.jpg,1,35263.3,8294400.0,0.4251,426.4
frame_000198.jpg,1,90027.6,8294400.0,1.0854,776.1
frame_000199.jpg,1,155364.3,8294400.0,1.8731,1151.7
frame_000200.jpg,1,142637.2,8294400.0,1.7197,1060.5
frame_000201.jpg,1,146967.4,8294400.0,1.7719,1055.8
frame_000202.jpg,1,146647.2,8294400.0,1.768,1053.5
frame_000203.jpg,3,553832.1,8294400.0,6.6772,3247.5
frame_000204.jpg,0,0.0,8294400.0,0.0,0.0
frame_000205.jpg,0,0.0,8294400.0,0.0,0.0
frame_000206.jpg,2,132111.0,8294400.0,1.5928,1037.4
frame_000207.jpg,1,100714.2,8294400.0,1.2142,879.6
frame_000208.jpg,1,188144.8,8294400.0,2.2683,1242.7
frame_000209.jpg,1,61853.3,8294400.0,0.7457,607.0
frame_000210.jpg,1,113156.3,8294400.0,1.3642,954.1
frame_000211.jpg,0,0.0,8294400.0,0.0,0.0
frame_000212.jpg,1,284954.4,8294400.0,3.4355,1666.4
frame_000213.jpg,0,0.0,8294400.0,0.0,0.0
frame_000214.jpg,0,0.0,8294400.0,0.0,0.0
frame_000215.jpg,1,8449.7,8294400.0,0.1019,179.4
frame_000216.jpg,0,0.0,8294400.0,0.0,0.0
frame_000217.jpg,2,49836.3,8294400.0,0.6008,671.0
frame_000218.jpg,1,79204.8,8294400.0,0.9549,696.0
frame_000219.jpg,0,0.0,8294400.0,0.0,0.0
frame_000220.jpg,0,0.0,8294400.0,0.0,0.0
